artistName,trackName,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,genres
NOVELISTS,C'est La Vie,0,0,0,0,0,0,0,0,0,0,0,4736,None
Nada Surf,Popular,0,0,0,0,220586,0,0,0,0,0,0,0,None
Nadiiife,The Valley,257060,0,0,0,0,0,0,0,0,0,0,0,None
Naeleck,Home Alone (with Marnik),0,0,0,0,0,0,0,0,0,0,128031,102444,None
Naits,lonely road,0,0,0,0,0,0,64490,0,0,0,0,0,None
Nancy Sinatra,These Boots Are Made For Walkin',0,0,1258,0,0,0,0,0,0,0,0,0,lounge
Naomi Jon,Bite Me,32853,0,0,0,0,0,0,0,0,0,0,0,None
Naomi Jon,NAOMI,71466,0,0,0,0,0,0,0,0,0,0,0,None
Naomi Jon,Ordinary,0,0,0,0,0,381324,370769,0,0,0,0,215263,german viral rap
Naomi Jon,Taboo,193752,152067,1301,152067,0,152067,118926,0,0,0,0,152067,None
Narda Afrika,Iki Kurus Ask,0,0,341,0,0,0,0,0,0,0,0,0,None
Nat King Cole,Nature Boy,0,0,0,0,6965,0,6849,2368,0,928,0,0,adult standards
Natalie Holt,TVA,0,0,0,0,28165,0,0,0,0,0,0,0,None
Natasha Bedingfield,Pocketful of Sunshine,0,0,115890,204136,0,0,0,0,2880,0,0,981,dance pop
Nazan Oncel,Gidelim Buralardan,0,0,0,4138,0,0,0,0,0,0,0,0,None
Ne Jupiter,Gokyuzum Siyah Olsa Da,0,1787,0,0,0,0,0,0,0,0,0,0,None
Ne Jupiter,Yildizlarda Olmek,0,0,310776,0,0,0,0,0,0,0,0,0,None
Nefaerious,Haley's Song,45054,0,0,0,0,0,0,0,0,0,0,0,None
Negatiator,Dark is the Night - Soviet Song Tiomnaia noch',0,0,0,0,0,0,0,0,0,0,173427,0,None
Neil Sedaka,You Mean Everything to Me,0,0,0,0,0,0,0,0,0,0,32206,0,None
Nelly Furtado,Maneater,0,140596,0,0,0,258893,0,4146,0,0,0,0,canadian latin
Nelly Furtado,Say It Right,0,0,0,0,84194,125333,0,0,529,0,1091,0,canadian latin
Nena,"Irgendwie, Irgendwo, Irgendwann - Special 12"" Dance Mix",0,0,0,279554,0,0,0,0,2879,0,0,0,None
Nena,"Irgendwie, irgendwo, irgendwann (Special 12"" Dance Mix)",0,0,0,0,0,0,0,0,0,0,0,1813,german pop
Nesrin Sipahi,Gecsin Gunler Haftalar - Hatira,0,0,0,226300,0,0,0,0,0,0,0,0,None
Nesrin Sipahi,Hani O Birakip Giderken Seni,0,0,0,196284,0,0,0,0,0,0,0,0,None
Neyse,Eski Bahce,0,0,0,206495,0,0,0,0,0,0,0,0,None
Nia Archives,Crossroads,0,0,0,0,0,0,0,198620,0,0,0,0,None
Nicholas Britell,Succession - Main Title Theme,0,3622,938,0,0,0,0,0,0,0,0,0,None
Nick Cave & The Bad Seeds,O Children,409546,133717,0,0,2461,0,0,0,0,1369,0,0,alternative rock
